Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
LSTM,DWA,"('next_activity', 'next_time')",0.001,None,0.44416666666666665,0.010651447475969314,1.9998666666666667,0.21170926605449575,,,20.0
LSTM,GradDrop,"('next_activity', 'next_time')",0.001,None,0.4492,0.0040037482438335294,1.9906333333333333,0.21171306840470042,,,22.333333333333332
LSTM,CAGrad,"('next_activity', 'next_time')",0.001,0.7,0.4451666666666667,0.002857154761879947,1.9431666666666667,0.20527694301439062,,,29.0
LSTM,IMTL,"('next_activity', 'next_time')",0.001,None,0.4390666666666667,0.0061533188876681045,1.9514666666666667,0.19384388907915903,,,28.666666666666668
LSTM,UW_SO,"('next_activity', 'next_time')",0.001,15.0,0.4432666666666667,0.0033605555096342743,2.0015666666666667,0.2140532721855317,,,19.0
LSTM,EW,"('next_activity', 'next_time')",0.001,None,0.44399999999999995,0.004132795663954352,2.012166666666667,0.20953411019052065,,,19.333333333333332
LSTM,PCGrad,"('next_activity', 'next_time')",0.001,None,0.4436333333333333,0.003980368492154118,1.988033333333333,0.21764085860272953,,,18.0
LSTM,UW,"('next_activity', 'next_time')",0.001,None,0.4464333333333333,0.003219213154380008,1.9946666666666666,0.21435226458643578,,,21.333333333333332
LSTM,RLW,"('next_activity', 'next_time')",0.001,None,0.4414666666666667,0.0030615900008546843,1.9864333333333333,0.20030332831316947,,,23.666666666666668
LSTM,GLS,"('next_activity', 'next_time')",0.001,None,0.4511,0.005150728103870352,2.0070666666666668,0.22075498484367978,,,24.333333333333332
LSTM,UW_O,"('next_activity', 'next_time')",0.0001,None,0.43606666666666666,0.00548573908724552,2.0648666666666666,0.22929189548113832,,,152.66666666666666
LSTM,GradNorm,"('next_activity', 'next_time')",0.001,1.0,0.4385666666666667,0.003955165398985662,1.9604333333333335,0.21280461304523762,,,27.0
LSTM,Nash_MTL,"('next_activity', 'next_time')",0.001,None,0.4517333333333333,0.009789960844320768,1.9903666666666666,0.20085303914388064,,,24.0
LSTM,EW,"('next_activity',)",0.0001,None,0.1666,0.006664082832618443,,,,,52.666666666666664
LSTM,DWA,"('next_activity', 'remaining_time')",0.001,None,0.29860000000000003,0.004203569911396732,,,14.180533333333335,0.305366932285298,126.66666666666667
LSTM,GradDrop,"('next_activity', 'remaining_time')",0.0001,None,0.22360000000000002,0.002687005768508889,,,17.856749999999998,1.0403662071597708,186.0
LSTM,CAGrad,"('next_activity', 'remaining_time')",0.001,0.1,0.36273333333333335,0.00865235998634669,,,14.962633333333335,0.49676030772731145,111.66666666666667
LSTM,IMTL,"('next_activity', 'remaining_time')",0.0001,None,0.42063333333333336,0.006459360133429095,,,21.634533333333334,1.4722265360104507,196.33333333333334
LSTM,UW_SO,"('next_activity', 'remaining_time')",0.0001,1.0,0.2491,,,,16.5406,,198.0
LSTM,EW,"('next_activity', 'remaining_time')",0.001,None,0.30246666666666666,0.0026388128644019766,,,14.922933333333333,0.9210031342690063,90.66666666666667
LSTM,UW,"('next_activity', 'remaining_time')",0.001,None,0.3958333333333333,0.004233595792388942,,,16.4016,0.9125004767122029,93.0
LSTM,RLW,"('next_activity', 'remaining_time')",0.001,None,0.2995,0.004439594576084617,,,14.977200000000002,0.8074398305756292,108.66666666666667
LSTM,GLS,"('next_activity', 'remaining_time')",0.001,None,0.40263333333333334,0.002502665245959464,,,17.531666666666666,0.6687254244705613,81.0
LSTM,UW_O,"('next_activity', 'remaining_time')",0.001,None,0.4053,0.008250454532933302,,,17.987466666666666,1.259313385672262,89.33333333333333
LSTM,GradNorm,"('next_activity', 'remaining_time')",0.0001,1.5,0.4039333333333333,0.003013856886670829,,,19.842933333333335,1.347480854533129,198.0
LSTM,Nash_MTL,"('next_activity', 'remaining_time')",0.0001,None,0.25089999999999996,0.0020952326839757036,,,17.55356666666667,1.2446393627606895,197.0
LSTM,EW,"('remaining_time',)",0.001,None,,,,,13.647533333333334,0.44378702474648046,157.33333333333334
LSTM,EW,"('next_time',)",0.001,None,,,2.032033333333333,0.2035855921555681,,,35.666666666666664
CNN,DWA,"('next_activity', 'next_time')",0.001,None,0.27513333333333334,0.010796913139102927,2.0826,0.22628130722620463,,,26.333333333333332
CNN,GradDrop,"('next_activity', 'next_time')",0.001,None,0.2765666666666667,0.008237313477908549,2.0868333333333333,0.218366854933008,,,20.666666666666668
CNN,CAGrad,"('next_activity', 'next_time')",0.001,0.1,0.27399999999999997,0.02147533468889368,2.079833333333333,0.2233870482667545,,,28.0
CNN,IMTL,"('next_activity', 'next_time')",0.0001,None,0.2436,0.011793642355099644,2.0813,0.22067797805852774,,,33.666666666666664
CNN,UW_SO,"('next_activity', 'next_time')",0.001,3.0,0.276,0.022129844102478438,2.082,0.22205452033228235,,,26.333333333333332
CNN,EW,"('next_activity', 'next_time')",0.001,None,0.2609666666666667,0.03306544016542551,2.0820666666666665,0.22312365032271533,,,21.333333333333332
CNN,PCGrad,"('next_activity', 'next_time')",0.001,None,0.27303333333333335,0.006917610377387075,2.076633333333333,0.2217874282580807,,,26.333333333333332
CNN,UW,"('next_activity', 'next_time')",0.001,None,0.27016666666666667,0.03250328188557785,2.085166666666667,0.22642248857684896,,,23.666666666666668
CNN,RLW,"('next_activity', 'next_time')",0.001,None,0.26836666666666664,0.009009069504301385,2.1137,0.20330447609435465,,,27.0
CNN,GLS,"('next_activity', 'next_time')",0.0001,None,0.262,0.002253885533916941,2.085933333333333,0.2240037127668497,,,40.333333333333336
CNN,UW_O,"('next_activity', 'next_time')",0.0001,None,0.2854666666666667,0.014202933969195716,2.085,0.2172473935401759,,,58.0
CNN,GradNorm,"('next_activity', 'next_time')",0.001,2.0,0.23853333333333335,0.018948438809921333,2.0814333333333335,0.23222670676158985,,,33.333333333333336
CNN,Nash_MTL,"('next_activity', 'next_time')",0.001,None,0.2662,0.009699999999999986,2.0861666666666667,0.22123440811350578,,,11.666666666666666
CNN,EW,"('next_activity',)",0.0001,None,0.10873333333333333,0.002987194893764606,,,,,19.666666666666668
CNN,DWA,"('next_activity', 'remaining_time')",0.0001,None,0.20086666666666667,0.002713546265191231,,,26.6752,1.2961377511669037,198.0
CNN,CAGrad,"('next_activity', 'remaining_time')",0.0001,0.1,0.247,0.009860527369263787,,,27.880533333333332,1.7637667202136833,183.0
CNN,EW,"('next_activity', 'remaining_time')",0.0001,None,0.19923333333333335,0.01101922562312495,,,26.673033333333336,1.223930918529855,196.0
CNN,UW,"('next_activity', 'remaining_time')",0.0001,None,0.2658,0.019497948610046112,,,33.37876666666667,1.9035194176402155,141.0
CNN,RLW,"('next_activity', 'remaining_time')",0.0001,None,0.19753333333333334,0.007755213300311815,,,27.818,1.4379045413378484,198.66666666666666
CNN,GLS,"('next_activity', 'remaining_time')",0.0001,None,0.2806,0.008585452812752485,,,33.42143333333333,2.604679600897839,116.0
CNN,UW_O,"('next_activity', 'remaining_time')",0.001,None,0.2702,0.01108016245368269,,,33.47506666666667,0.9298096651107359,67.66666666666667
CNN,EW,"('remaining_time',)",0.0001,None,,,,,35.14893333333333,13.384382552188704,140.33333333333334
CNN,EW,"('next_time',)",0.0001,None,,,2.0760666666666667,0.21907113760907282,,,45.333333333333336
