Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,64.0,12.9523,0.784,5.3436,6.7362
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,32.0,12.8589,0.7726,5.5333,7.0445
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.3,42,10.0,16.031,0.6979,6.8066,8.549
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,46.0,12.4297,0.7818,5.4341,6.8463
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,123,111.0,12.8877,0.7669,5.652,6.9862
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,64.0,12.671,0.7771,5.535,6.8847
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,123,51.0,12.4985,0.7753,5.5392,6.8683
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,42,162.0,12.6435,0.7767,5.5061,6.9499
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,48.0,12.434,0.7804,5.5199,6.8767
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.7,42,8.0,14.5602,0.7332,6.2219,7.8973
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,1.0,123,5.0,21.6242,0.6858,11.2898,9.2655
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,123,111.0,12.8787,0.7679,5.6567,6.9626
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,129.0,12.8416,0.7606,5.571,7.0616
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,111.0,12.782,0.7803,5.6698,6.9557
