Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,4.0,19.6033,0.4407,2.6329,16.2799
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,49.0,14.4628,0.5338,1.6221,12.4687
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,123,28.0,15.5248,0.4105,1.5337,12.3445
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,119.0,15.2429,0.5038,1.5323,11.9781
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,117.0,15.231,0.5108,1.5364,11.9531
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,5.0,42,169.0,14.9158,0.5217,1.53,11.7616
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.7,42,155.0,14.9168,0.5231,1.5202,11.7842
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,133.0,14.6699,0.5292,1.5124,12.0691
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,16.0,15.5229,0.4105,1.5337,12.3381
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,86.0,15.2833,0.4522,1.5376,12.3157
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,147.0,14.8414,0.5222,1.5341,11.7782
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,107.0,14.6069,0.5327,1.5073,12.0162
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,45.0,14.9017,0.458,1.6594,12.5969
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,169.0,14.812,0.5126,1.5316,12.0948
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,42,35.0,15.5716,0.4129,1.5418,12.0379
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,42,167.0,14.7234,0.5298,1.5243,11.6398
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,2025,7.0,15.1545,0.413,1.658,12.6937
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,15.0,2025,161.0,14.4751,0.5172,1.6388,12.3379
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,42,35.0,15.5724,0.4129,1.542,12.0291
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,133.0,14.7882,0.5166,1.5242,12.0387
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,2025,140.0,14.4041,0.5269,1.6289,12.3177
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,54.0,14.7543,0.5329,1.5094,12.1228
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,2025,32.0,15.0596,0.413,1.6575,12.6109
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,198.0,14.5948,0.5207,1.518,11.9272
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,26.0,15.5529,0.4129,1.5429,12.0585
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,2025,165.0,14.5043,0.5225,1.6417,12.4199
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,2025,162.0,14.4539,0.5288,1.6374,12.4062
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.3,42,127.0,15.0205,0.519,1.5238,11.831
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,17.0,15.1674,0.413,1.6585,12.6118
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,122.0,14.5475,0.5182,1.6447,12.4752
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,28.0,15.4109,0.41,1.5344,12.3255
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,7.0,19.9601,0.4346,2.4061,15.6771
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,181.0,14.7856,0.5452,1.5197,11.7549
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.1,123,168.0,14.7506,0.5202,1.5246,12.0173
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,19.0,15.1702,0.413,1.658,12.6104
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,2025,127.0,14.4705,0.5234,1.633,12.3925
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,2.0,2025,71.0,14.7509,0.492,1.6483,12.578
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,2025,11.0,15.1692,0.413,1.6614,12.7061
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,2025,14.0,15.06,0.413,1.6582,12.6074
CNN,EW,"('next_activity',)",0.0001,None,42,96.0,1.5023,0.4718,,
CNN,EW,"('next_activity',)",0.01,None,123,18.0,1.7416,0.4105,,
CNN,EW,"('next_activity',)",0.0001,None,123,63.0,1.545,0.4522,,
CNN,EW,"('next_activity',)",0.001,None,42,29.0,1.5156,0.466,,
CNN,EW,"('next_activity',)",0.001,None,2025,25.0,1.5194,0.4636,,
CNN,EW,"('next_activity',)",0.0001,None,2025,64.0,1.5244,0.4625,,
CNN,EW,"('next_activity',)",0.001,None,123,27.0,1.5324,0.4532,,
CNN,EW,"('next_activity',)",0.01,None,2025,13.0,1.7735,0.413,,
CNN,EW,"('next_activity',)",0.01,None,42,18.0,1.6982,0.4127,,
CNN,EW,"('next_time',)",0.0001,None,42,3.0,2.6636,,2.5256,
CNN,EW,"('next_time',)",0.001,None,123,2.0,2.5941,,2.5297,
CNN,EW,"('next_time',)",0.0001,None,123,127.0,1.5919,,1.531,
CNN,EW,"('next_time',)",0.01,None,42,18.0,2.6822,,2.5443,
CNN,EW,"('next_time',)",0.001,None,2025,2.0,2.5761,,2.6551,
CNN,EW,"('next_time',)",0.0001,None,2025,2.0,2.5462,,2.6371,
CNN,EW,"('next_time',)",0.001,None,42,8.0,1.6817,,1.5436,
CNN,EW,"('next_time',)",0.01,None,2025,4.0,2.5799,,2.6587,
CNN,EW,"('next_time',)",0.01,None,123,6.0,2.5985,,3.2902,
CNN,EW,"('remaining_time',)",0.01,None,2025,1.0,15.4189,,,16.3316
CNN,EW,"('remaining_time',)",0.01,None,123,16.0,15.8085,,,15.9444
CNN,EW,"('remaining_time',)",0.0001,None,123,9.0,15.7391,,,15.8962
CNN,EW,"('remaining_time',)",0.01,None,42,1.0,15.7831,,,15.6777
CNN,EW,"('remaining_time',)",0.0001,None,2025,1.0,15.3538,,,16.2632
CNN,EW,"('remaining_time',)",0.001,None,2025,8.0,15.4192,,,16.3316
CNN,EW,"('remaining_time',)",0.001,None,42,1.0,15.7831,,,15.6777
CNN,EW,"('remaining_time',)",0.001,None,123,3.0,15.781,,,15.9289
CNN,EW,"('remaining_time',)",0.0001,None,42,2.0,15.7135,,,15.6077
